id,speed
0,48.691772
1,47.258442
2,40.17107
3,31.674809
4,42.73873
5,25.049778
6,20.774584
7,48.859653
8,47.670124
9,35.146347
10,33.377026
11,24.500605
12,23.588583
13,24.327408
14,27.372839
15,38.85419
16,44.405426
17,48.179867
18,48.5861
19,48.791046
20,45.932365
21,43.025352
22,20.202282
23,32.96804
24,23.978018
25,19.97797
26,22.010775
27,22.08011
28,18.187044
29,13.369904
30,24.878962
31,47.331123
32,49.24614
33,31.146503
34,30.32263
35,21.837255
36,19.481012
37,22.113985
38,46.28141
39,41.368187
40,46.011795
41,48.018284
42,49.00676
43,43.272114
44,20.167088
45,19.714947
46,18.657791
47,11.656986
48,44.948803
49,49.324745
50,49.061104
51,23.940369
52,17.542543
53,18.357588
54,18.94504
55,21.02646
56,13.698414
57,17.288912
58,28.039553
59,36.128124
60,42.14933
61,40.33411
62,39.91137
63,43.118347
64,43.90131
65,48.13586
66,47.717873
67,46.002686
68,43.367153
69,27.979383
70,25.542858
71,18.228237
72,16.934757
73,17.455322
74,12.780368
75,7.8955145
76,42.11703
77,39.152256
78,41.982323
79,47.731297
80,12.721638
81,18.225328
82,24.211357
83,16.058296
84,15.161811
85,13.093571
86,19.821508
87,36.63365
88,44.827488
89,41.79224
90,48.90857
91,48.477703
92,46.99794
93,46.225643
94,26.987833
95,13.894685
96,22.159842
97,11.600873
98,9.95157
99,19.636131
100,40.33336
101,47.385303
102,14.807454
103,17.096273
104,13.841437
105,43.92021
106,35.853207
107,48.46561
108,43.10133
109,13.80529
110,9.351054
111,9.456674
112,20.191132
113,33.078716
114,32.57708
115,49.074245
116,48.748398
117,41.000813
118,26.582798
119,24.371046
120,18.04575
121,16.863735
122,34.418392
123,47.419525
124,47.514214
125,40.397057
126,41.222584
127,39.202053
128,42.855812
129,33.40276
130,49.20796
131,47.390865
132,46.703136
133,28.659868
134,25.133493
135,24.063303
136,40.286045
137,47.50609
138,49.998573
139,47.73311
140,46.9437
141,44.44849
142,26.455233
143,12.427494
144,21.55997
145,18.579514
146,19.188984
147,48.985325
148,50.055096
149,47.445217
150,47.80077
151,16.459198
152,16.046387
153,15.968404
154,7.801716
155,18.817287
156,36.395687
157,45.344334
158,40.437153
159,43.995846
160,49.338413
161,50.18836
162,48.25254
163,47.66752
164,44.093014
165,26.970606
166,14.351804
167,19.818787
168,17.238499
169,17.478416
170,10.840331
171,11.569306
172,46.871082
173,47.563053
174,43.077965
175,25.316624
176,19.93911
177,16.940855
178,18.904293
179,10.978411
180,47.739525
181,48.640724
182,49.270985
183,49.211597
184,41.4294
185,17.296627
186,16.854973
187,40.268196
188,25.807863
189,48.990173
190,43.606335
191,44.51002
192,39.94473
193,36.99017
194,35.068108
195,35.02641
196,34.94687
197,44.736435
198,39.715744
199,47.79547
200,45.917145
201,25.733791
202,22.222958
203,19.337807
204,17.926517
205,20.739037
206,37.175438
207,39.483425
208,48.688015
209,48.906128
210,47.062412
211,46.988438
212,28.458035
213,13.12552
214,21.306627
215,22.127506
216,15.99019
217,19.924385
218,44.30873
219,47.92921
220,46.872707
221,44.836338
222,29.268612
223,15.884898
224,11.987226
225,23.010128
226,48.01596
227,48.621567
228,17.76144
229,22.912148
230,20.654947
231,17.792892
232,43.597317
233,48.50736
234,46.8976
235,21.486076
236,26.08897
237,23.761137
238,22.469372
239,40.326138
240,32.4268
241,37.480263
242,48.14666
243,48.48184
244,48.036194
245,48.11873
246,28.556795
247,26.368414
248,22.659872
249,23.659294
250,21.64966
251,32.912815
252,40.966793
253,29.196226
254,32.25525
255,47.047035
256,47.66568
257,45.021976
258,42.733692
259,43.611576
260,41.225273
261,33.382744
262,38.860764
263,42.182518
264,31.035511
265,41.910004
266,47.966274
267,44.09491
268,21.575497
269,21.320017
270,18.682112
271,18.166937
272,20.850697
273,16.013817
274,45.435825
275,47.568897
276,47.85099
277,47.283398
278,32.12962
279,17.10125
280,20.86673
281,24.35087
282,22.127861
283,22.285023
284,16.530981
285,16.90705
286,48.280125
287,47.45773
288,13.000886
289,16.325485
290,19.902142
291,13.085479
292,14.311553
293,26.574434
294,45.560215
295,48.06835
296,47.48461
297,39.025173
298,24.06516
299,36.846493
300,27.545197
301,22.428822
302,27.523216
303,42.6578
304,42.137615
305,49.3075
306,48.579365
307,49.105717
308,45.298306
309,33.7649
310,17.548515
311,9.490003
312,41.22625
313,37.179066
314,39.65049
315,48.763863
316,46.201607
317,37.164394
318,34.92955
319,33.671555
320,43.208504
321,46.14373
322,46.024593
323,45.99656
324,48.386963
325,47.139782
326,47.810524
327,43.47358
328,43.887634
329,40.671448
330,37.473026
331,43.45443
332,42.237602
333,38.334682
334,40.370426
335,46.915176
336,46.53835
337,46.405968
338,15.5507
339,19.82473
340,23.353306
341,26.06703
342,42.91446
343,44.033257
344,48.171955
345,47.63391
346,47.05773
347,18.509323
348,38.7633
349,49.10496
350,48.516323
351,47.75048
352,32.209488
353,16.595718
354,26.305271
355,19.42781
356,19.126957
357,24.892776
358,36.124863
359,43.842033
360,44.88444
361,48.93634
362,16.559454
363,24.920326
364,19.028784
365,17.473877
366,12.963337
367,24.955652
368,42.364826
